variant_id,model_year,region,body_style,trim_level,drivetrain,wheelbase_mm,curb_mass_kg,drag_coefficient,frontal_area_m2,max_payload_kg,tow_rating_kg,homologation_code,active_aero,certification_market,test_cycle,procedure_standard,gcwr_kg,braked_trailer_rating_kg,unbraked_trailer_rating_kg
OAM-V0144,2024,JP,suv,Premium,AWD,3188,2143,0.307,2.67,720,3318,JP-2024-2424,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,6299,3318,750
OAM-V0145,2025,AU,sedan,Base,4WD,2881,1838,0.262,2.16,535,0,AU-2025-1232,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2549,0,0
OAM-V0146,2026,LATAM,crossover,Performance,FWD,2816,2332,0.300,2.83,652,1410,LATAM-2026-5373,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4621,1410,750
OAM-V0147,2027,GCC,wagon,Fleet,4WD,3050,2189,0.266,2.49,628,1515,GCC-2027-3325,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4542,1515,750
OAM-V0148,2024,UK,suv,Touring,RWD,2952,2597,0.378,2.81,723,2124,UK-2024-6840,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5629,2124,750
OAM-V0149,2025,NA,crossover,Base,FWD,2908,2280,0.234,2.56,496,2242,NA-2025-2517,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5182,2242,750
OAM-V0150,2026,AU,sedan,Touring,AWD,2810,1904,0.198,2.27,534,403,AU-2026-8910,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2963,403,403
OAM-V0151,2027,NA,van,Executive,AWD,3837,2795,0.372,3.82,1467,3701,NA-2027-6153,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8202,3701,750
OAM-V0152,2024,KR,van,Executive,RWD,4059,2929,0.301,4.10,1547,2295,KR-2024-2141,true,Korea,WLTC-KR,KATRI/WLTC,6904,2295,750
OAM-V0153,2025,LATAM,wagon,Sport,AWD,3013,1916,0.317,2.55,533,2067,LATAM-2025-2324,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4745,2067,750
OAM-V0154,2026,KR,suv,Sport,4WD,3043,2235,0.315,2.89,668,2688,KR-2026-3582,true,Korea,WLTC-KR,KATRI/WLTC,5772,2688,750
OAM-V0155,2027,AU,suv,Executive,AWD,3103,2853,0.298,3.00,583,2583,AU-2027-8561,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,6230,2583,750
OAM-V0156,2024,EU,sedan,Touring,RWD,2930,1916,0.248,2.18,468,0,EU-2024-6656,true,European Union,WLTP,UNECE R154,2509,0,0
OAM-V0157,2025,GCC,van,Premium,4WD,3740,3676,0.358,3.60,1094,2756,GCC-2025-1917,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,7756,2756,750
OAM-V0158,2026,KR,crossover,Premium,FWD,3127,2204,0.317,2.69,493,1721,KR-2026-6422,false,Korea,WLTC-KR,KATRI/WLTC,4519,1721,750
OAM-V0159,2027,AU,van,Fleet,4WD,3823,2836,0.299,4.09,1400,2118,AU-2027-5938,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,6528,2118,750
OAM-V0160,2024,KR,wagon,Performance,AWD,3089,2065,0.252,2.54,451,1636,KR-2024-7956,false,Korea,WLTC-KR,KATRI/WLTC,4333,1636,750
OAM-V0161,2025,GCC,pickup,Base,4WD,3499,2325,0.439,3.27,917,3400,GCC-2025-3057,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6822,3400,750
OAM-V0162,2026,LATAM,wagon,Base,4WD,2890,1797,0.298,2.44,523,1852,LATAM-2026-7555,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,4399,1852,750
OAM-V0163,2027,JP,wagon,Sport,AWD,3001,1891,0.267,2.48,550,1645,JP-2027-7107,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,4201,1645,750
OAM-V0164,2024,KR,pickup,Base,AWD,3449,3047,0.343,3.16,659,3964,KR-2024-3018,false,Korea,WLTC-KR,KATRI/WLTC,7893,3964,750
OAM-V0165,2025,LATAM,crossover,Sport,RWD,2908,2117,0.348,2.61,613,2388,LATAM-2025-3988,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5324,2388,750
OAM-V0166,2026,UK,crossover,Performance,RWD,2858,1993,0.258,2.46,590,1705,UK-2026-1612,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4411,1705,750
OAM-V0167,2027,LATAM,crossover,Base,4WD,3136,2213,0.280,2.51,593,2466,LATAM-2027-4398,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5437,2466,750
OAM-V0168,2024,UK,pickup,Touring,RWD,3286,2420,0.437,3.26,718,4122,UK-2024-9669,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,7467,4122,750
OAM-V0169,2025,GCC,liftback,Sport,4WD,2813,1606,0.212,2.40,464,1069,GCC-2025-8655,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,3312,1069,750
OAM-V0170,2026,AU,van,Premium,4WD,3462,3521,0.363,3.68,1470,3226,AU-2026-8724,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,8428,3226,750
OAM-V0171,2027,AU,liftback,Performance,FWD,2878,1680,0.192,2.17,475,1060,AU-2027-4258,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3437,1060,750
OAM-V0172,2024,UK,pickup,Sport,4WD,3406,2794,0.334,3.19,1144,5837,UK-2024-5496,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,9886,5837,750
OAM-V0173,2025,KR,crossover,Sport,RWD,3063,1730,0.299,2.48,594,2197,KR-2025-8311,false,Korea,WLTC-KR,KATRI/WLTC,4633,2197,750
OAM-V0174,2026,JP,sedan,Performance,AWD,2872,1910,0.248,2.18,521,0,JP-2026-6128,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2654,0,0
OAM-V0175,2027,JP,suv,Sport,FWD,3003,2431,0.326,2.71,661,3045,JP-2027-1228,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,6264,3045,750
OAM-V0176,2024,UK,liftback,Performance,4WD,2905,1753,0.223,2.16,551,0,UK-2024-9387,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,2430,0,0
OAM-V0177,2025,KR,crossover,Fleet,AWD,3004,2149,0.324,2.49,496,2157,KR-2025-4590,false,Korea,WLTC-KR,KATRI/WLTC,4917,2157,750
OAM-V0178,2026,AU,crossover,Executive,AWD,3037,2197,0.288,2.62,647,1655,AU-2026-8341,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4721,1655,750
OAM-V0179,2027,AU,sedan,Executive,AWD,2787,1947,0.265,2.24,447,0,AU-2027-7485,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2581,0,0
OAM-V0180,2024,NA,pickup,Sport,RWD,3358,2944,0.434,3.42,1140,3277,NA-2024-9371,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,7607,3277,750
OAM-V0181,2025,NA,suv,Fleet,FWD,2943,2438,0.352,2.86,591,1829,NA-2025-8466,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5023,1829,750
OAM-V0182,2026,EU,crossover,Touring,4WD,2808,2360,0.284,2.81,500,2480,EU-2026-9865,true,European Union,WLTP,UNECE R154,5478,2480,750
OAM-V0183,2027,NA,pickup,Performance,AWD,3467,2998,0.342,3.50,761,4546,NA-2027-9029,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8410,4546,750
OAM-V0184,2024,KR,sedan,Performance,4WD,2872,1930,0.223,2.21,446,904,KR-2024-9577,false,Korea,WLTC-KR,KATRI/WLTC,3518,904,750
OAM-V0185,2025,NA,van,Premium,RWD,3556,2700,0.331,3.31,940,2342,NA-2025-8374,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,6185,2342,750
OAM-V0186,2026,UK,sedan,Premium,FWD,2815,1788,0.272,2.29,427,750,UK-2026-5843,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,3166,750,750
OAM-V0187,2027,KR,van,Performance,AWD,3300,3297,0.305,3.58,943,1642,KR-2027-5989,true,Korea,WLTC-KR,KATRI/WLTC,6075,1642,750
OAM-V0188,2024,EU,pickup,Sport,AWD,3325,2823,0.402,3.48,1189,5132,EU-2024-8073,false,European Union,WLTP,UNECE R154,9391,5132,750
OAM-V0189,2025,EU,sedan,Touring,AWD,2913,1636,0.252,2.31,416,0,EU-2025-8894,false,European Union,WLTP,UNECE R154,2247,0,0
OAM-V0190,2026,LATAM,crossover,Fleet,AWD,3006,1859,0.283,2.62,555,1442,LATAM-2026-3216,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3971,1442,750
OAM-V0191,2027,NA,van,Performance,AWD,4041,3098,0.337,3.21,1097,2503,NA-2027-4256,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,6890,2503,750
OAM-V0192,2024,LATAM,wagon,Performance,AWD,3004,1897,0.281,2.30,638,1148,LATAM-2024-9395,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3853,1148,750
OAM-V0193,2025,GCC,van,Executive,FWD,4066,2786,0.365,3.53,1510,2303,GCC-2025-6617,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6784,2303,750
OAM-V0194,2026,UK,suv,Fleet,AWD,3083,2088,0.310,3.09,610,2840,UK-2026-9672,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5639,2840,750
OAM-V0195,2027,AU,sedan,Base,RWD,2931,1675,0.252,2.23,493,1055,AU-2027-6241,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3472,1055,750
OAM-V0196,2024,KR,suv,Base,RWD,3128,2431,0.288,3.01,696,3027,KR-2024-9640,true,Korea,WLTC-KR,KATRI/WLTC,6259,3027,750
OAM-V0197,2025,NA,sedan,Performance,AWD,2841,1896,0.193,2.20,427,1369,NA-2025-5753,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3860,1369,750
OAM-V0198,2026,EU,crossover,Fleet,4WD,3139,1985,0.287,2.46,602,1586,EU-2026-7866,false,European Union,WLTP,UNECE R154,4421,1586,750
OAM-V0199,2027,UK,sedan,Base,AWD,2773,1913,0.297,2.20,441,0,UK-2027-1806,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,2521,0,0
OAM-V0200,2024,AU,crossover,Premium,FWD,2998,1984,0.276,2.70,496,1404,AU-2024-3462,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4046,1404,750
OAM-V0201,2025,EU,liftback,Sport,RWD,2890,1458,0.221,2.18,485,274,EU-2025-8783,false,European Union,WLTP,UNECE R154,2428,274,274
OAM-V0202,2026,KR,liftback,Executive,AWD,2703,1952,0.239,2.21,515,0,KR-2026-2038,false,Korea,WLTC-KR,KATRI/WLTC,2713,0,0
OAM-V0203,2027,JP,sedan,Sport,4WD,2815,2031,0.230,2.32,459,0,JP-2027-5116,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,2688,0,0
OAM-V0204,2024,LATAM,sedan,Touring,RWD,2964,1780,0.253,2.17,482,544,LATAM-2024-5645,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3021,544,544
OAM-V0205,2025,KR,liftback,Base,RWD,2806,1859,0.263,2.16,475,1691,KR-2025-1964,false,Korea,WLTC-KR,KATRI/WLTC,4271,1691,750
OAM-V0206,2026,KR,van,Fleet,RWD,3864,2382,0.326,3.23,989,1947,KR-2026-9330,true,Korea,WLTC-KR,KATRI/WLTC,5565,1947,750
OAM-V0207,2027,UK,crossover,Fleet,RWD,2915,1807,0.296,2.64,556,2110,UK-2027-8556,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4677,2110,750
OAM-V0208,2024,JP,pickup,Performance,AWD,3289,3427,0.307,3.29,865,2787,JP-2024-7008,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,7270,2787,750
OAM-V0209,2025,GCC,pickup,Fleet,RWD,3255,2717,0.382,3.47,1133,3618,GCC-2025-8602,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,7703,3618,750
OAM-V0210,2026,JP,van,Premium,4WD,4042,3647,0.368,3.59,844,2479,JP-2026-1010,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,7209,2479,750
OAM-V0211,2027,LATAM,suv,Touring,AWD,3076,2391,0.265,3.14,588,2021,LATAM-2027-2930,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5100,2021,750
OAM-V0212,2024,NA,van,Sport,4WD,3498,2545,0.376,3.87,857,3284,NA-2024-6146,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,6875,3284,750
OAM-V0213,2025,EU,liftback,Premium,FWD,2953,1923,0.303,2.34,564,20,EU-2025-7433,false,European Union,WLTP,UNECE R154,2728,20,20
OAM-V0214,2026,UK,suv,Base,4WD,3061,2080,0.325,3.11,597,2321,UK-2026-5803,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5105,2321,750
OAM-V0215,2027,GCC,crossover,Base,4WD,2960,1891,0.302,2.71,574,2002,GCC-2027-5457,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4640,2002,750
OAM-V0216,2024,GCC,van,Touring,FWD,3693,3440,0.311,3.42,1039,2481,GCC-2024-6952,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,7150,2481,750
OAM-V0217,2025,UK,crossover,Touring,FWD,3024,1749,0.262,2.50,543,1985,UK-2025-7713,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4452,1985,750
OAM-V0218,2026,JP,van,Sport,AWD,4075,3210,0.331,4.04,1180,2670,JP-2026-7999,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,7275,2670,750
OAM-V0219,2027,EU,suv,Premium,RWD,2887,2796,0.291,3.01,634,3402,EU-2027-8520,false,European Union,WLTP,UNECE R154,6994,3402,750
OAM-V0220,2024,UK,suv,Base,AWD,3008,2559,0.338,2.74,742,3058,UK-2024-6172,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,6511,3058,750
OAM-V0221,2025,EU,liftback,Base,FWD,2930,1975,0.223,2.34,453,0,EU-2025-5670,false,European Union,WLTP,UNECE R154,2573,0,0
OAM-V0222,2026,EU,sedan,Executive,4WD,2812,1723,0.271,2.25,421,689,EU-2026-7223,false,European Union,WLTP,UNECE R154,3050,689,689
OAM-V0223,2027,EU,liftback,Touring,4WD,2929,1887,0.261,2.38,432,0,EU-2027-4980,false,European Union,WLTP,UNECE R154,2459,0,0
OAM-V0224,2024,JP,wagon,Fleet,FWD,3081,1933,0.263,2.43,591,1408,JP-2024-3836,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,4098,1408,750
OAM-V0225,2025,KR,van,Fleet,AWD,4005,2515,0.347,4.10,1360,1945,KR-2025-4201,false,Korea,WLTC-KR,KATRI/WLTC,5970,1945,750
OAM-V0226,2026,LATAM,sedan,Sport,RWD,2794,1476,0.202,2.41,445,1534,LATAM-2026-4429,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3641,1534,750
OAM-V0227,2027,NA,pickup,Fleet,AWD,3699,2879,0.364,3.20,659,4219,NA-2027-4380,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,7925,4219,750
OAM-V0228,2024,JP,crossover,Executive,FWD,3139,2400,0.347,2.71,694,2241,JP-2024-4746,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,5516,2241,750
OAM-V0229,2025,UK,crossover,Base,FWD,3016,2039,0.310,2.53,596,1211,UK-2025-4532,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,3954,1211,750
OAM-V0230,2026,GCC,van,Sport,FWD,3705,3178,0.310,3.43,1553,2144,GCC-2026-3109,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6983,2144,750
OAM-V0231,2027,AU,van,Executive,FWD,3447,3318,0.378,3.61,807,3299,AU-2027-7051,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,7605,3299,750
OAM-V0232,2024,LATAM,suv,Performance,RWD,3113,2237,0.326,2.80,610,2268,LATAM-2024-7155,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5234,2268,750
OAM-V0233,2025,GCC,sedan,Fleet,FWD,2869,1680,0.256,2.21,504,0,GCC-2025-9474,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,2434,0,0
OAM-V0234,2026,AU,wagon,Executive,RWD,3016,2101,0.292,2.33,460,1790,AU-2026-7621,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4509,1790,750
OAM-V0235,2027,JP,wagon,Touring,RWD,3026,1857,0.277,2.54,476,1293,JP-2027-2099,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,3810,1293,750
OAM-V0236,2024,UK,crossover,Premium,AWD,3008,2489,0.312,2.68,476,1985,UK-2024-7404,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,5112,1985,750
OAM-V0237,2025,UK,van,Executive,4WD,4194,3532,0.330,4.03,1340,2179,UK-2025-3703,false,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,7256,2179,750
OAM-V0238,2026,EU,wagon,Performance,AWD,2974,2036,0.228,2.37,509,1019,EU-2026-2464,false,European Union,WLTP,UNECE R154,3814,1019,750
OAM-V0239,2027,AU,sedan,Performance,RWD,2866,1649,0.199,2.21,547,426,AU-2027-2466,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2859,426,426
OAM-V0240,2024,UK,crossover,Sport,RWD,2840,2033,0.310,2.57,459,1439,UK-2024-4948,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4144,1439,750
OAM-V0241,2025,AU,crossover,Base,FWD,2836,2304,0.315,2.48,526,1750,AU-2025-9464,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4799,1750,750
OAM-V0242,2026,AU,pickup,Sport,AWD,3440,2800,0.398,3.58,1001,5138,AU-2026-5250,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,9105,5138,750
OAM-V0243,2027,AU,suv,Performance,RWD,2952,2215,0.266,2.73,750,1606,AU-2027-2522,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4821,1606,750
OAM-V0244,2024,JP,sedan,Touring,RWD,2966,1806,0.212,2.18,523,433,JP-2024-7947,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,2952,433,433
OAM-V0245,2025,NA,sedan,Performance,RWD,2918,1926,0.269,2.24,502,285,NA-2025-2664,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,2873,285,285
OAM-V0246,2026,GCC,liftback,Touring,RWD,2745,1832,0.258,2.43,442,0,GCC-2026-6772,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,2378,0,0
OAM-V0247,2027,KR,pickup,Sport,4WD,3577,3327,0.399,3.47,878,3251,KR-2027-6521,false,Korea,WLTC-KR,KATRI/WLTC,7674,3251,750
OAM-V0248,2024,LATAM,pickup,Fleet,AWD,3437,3353,0.374,3.23,1130,4190,LATAM-2024-1228,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,8832,4190,750
OAM-V0249,2025,AU,liftback,Premium,4WD,2776,2090,0.226,2.29,576,1299,AU-2025-7081,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,4151,1299,750
OAM-V0250,2026,NA,van,Performance,AWD,3918,3451,0.324,3.41,1278,1710,NA-2026-3511,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,6639,1710,750
OAM-V0251,2027,LATAM,van,Premium,FWD,3317,2927,0.388,3.67,853,3152,LATAM-2027-1804,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,7060,3152,750
OAM-V0252,2024,EU,crossover,Sport,RWD,2920,2301,0.307,2.60,553,1360,EU-2024-5342,false,European Union,WLTP,UNECE R154,4377,1360,750
OAM-V0253,2025,JP,sedan,Touring,AWD,2928,1717,0.249,2.21,558,0,JP-2025-8670,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,2384,0,0
OAM-V0254,2026,GCC,wagon,Performance,RWD,2996,1867,0.259,2.25,634,936,GCC-2026-7024,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,3577,936,750
OAM-V0255,2027,AU,liftback,Sport,RWD,2967,1584,0.303,2.37,426,965,AU-2027-1520,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3107,965,750
OAM-V0256,2024,GCC,van,Performance,FWD,4185,2565,0.330,3.66,1399,1554,GCC-2024-4094,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,5655,1554,750
OAM-V0257,2025,GCC,van,Performance,AWD,3453,3651,0.318,3.49,1256,1839,GCC-2025-3844,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,6939,1839,750
OAM-V0258,2026,NA,suv,Sport,FWD,3087,1941,0.330,2.95,664,2980,NA-2026-3372,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5746,2980,750
OAM-V0259,2027,GCC,pickup,Premium,RWD,3671,2497,0.432,3.61,931,3977,GCC-2027-9846,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,7520,3977,750
OAM-V0260,2024,LATAM,pickup,Touring,4WD,3596,3026,0.396,3.35,914,5658,LATAM-2024-2484,true,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,9742,5658,750
OAM-V0261,2025,EU,van,Performance,AWD,4136,2792,0.317,3.56,1210,2387,EU-2025-5985,false,European Union,WLTP,UNECE R154,6502,2387,750
OAM-V0262,2026,LATAM,sedan,Base,FWD,2865,1798,0.228,2.25,541,1208,LATAM-2026-8787,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,3691,1208,750
OAM-V0263,2027,GCC,liftback,Executive,FWD,2730,1795,0.248,2.33,420,14,GCC-2027-5173,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,2436,14,14
OAM-V0264,2024,JP,crossover,Premium,FWD,2868,1897,0.317,2.49,687,2146,JP-2024-7408,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,4902,2146,750
OAM-V0265,2025,EU,crossover,Fleet,RWD,2816,2174,0.262,2.84,496,1339,EU-2025-6336,false,European Union,WLTP,UNECE R154,4258,1339,750
OAM-V0266,2026,NA,pickup,Touring,RWD,3257,2908,0.409,3.62,780,5436,NA-2026-7826,true,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,9362,5436,750
OAM-V0267,2027,JP,liftback,Premium,RWD,2900,1648,0.251,2.27,424,0,JP-2027-9671,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,2306,0,0
OAM-V0268,2024,LATAM,suv,Touring,FWD,3023,2061,0.295,3.01,766,2598,LATAM-2024-9714,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5637,2598,750
OAM-V0269,2025,GCC,pickup,Performance,RWD,3365,3101,0.387,3.18,797,3973,GCC-2025-1883,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,7996,3973,750
OAM-V0270,2026,UK,crossover,Premium,FWD,2814,2115,0.314,2.51,561,1292,UK-2026-6233,true,United Kingdom,WLTP,UK type approval using WLTP/UNECE R154 basis,4160,1292,750
OAM-V0271,2027,GCC,sedan,Performance,FWD,2768,1996,0.271,2.24,443,51,GCC-2027-3846,false,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,2659,51,51
OAM-V0272,2024,AU,crossover,Touring,AWD,3145,1854,0.292,2.59,516,1428,AU-2024-1711,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3916,1428,750
OAM-V0273,2025,NA,van,Fleet,RWD,3856,2914,0.397,3.68,1018,1836,NA-2025-5728,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,5901,1836,750
OAM-V0274,2026,NA,liftback,Sport,FWD,2771,1957,0.223,2.40,556,948,NA-2026-6696,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,3607,948,750
OAM-V0275,2027,EU,wagon,Fleet,RWD,3053,2076,0.221,2.39,460,1741,EU-2027-3351,true,European Union,WLTP,UNECE R154,4387,1741,750
OAM-V0276,2024,GCC,crossover,Performance,FWD,3006,2431,0.235,2.63,453,1186,GCC-2024-1276,true,GCC,GSO/SASO fuel economy,GSO/SASO light-duty vehicle fuel economy procedure,4246,1186,750
OAM-V0277,2025,AU,liftback,Base,FWD,2886,1503,0.243,2.18,435,875,AU-2025-8678,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2944,875,750
OAM-V0278,2026,NA,pickup,Fleet,4WD,3359,2883,0.365,3.38,681,4279,NA-2026-3913,false,United States/Canada,EPA FTP-75/HWFET/US06,40 CFR Part 86 and Part 1066,8062,4279,750
OAM-V0279,2027,KR,van,Touring,FWD,3318,2393,0.355,3.35,1492,2820,KR-2027-8510,false,Korea,WLTC-KR,KATRI/WLTC,6859,2820,750
OAM-V0280,2024,AU,sedan,Sport,RWD,2907,1465,0.217,2.30,495,1472,AU-2024-7433,true,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,3558,1472,750
OAM-V0281,2025,AU,sedan,Executive,RWD,2933,1598,0.254,2.15,515,0,AU-2025-4719,false,Australia,ADR 81/02 WLTP transition,Australian Design Rules fuel consumption procedure,2321,0,0
OAM-V0282,2026,EU,pickup,Premium,4WD,3452,2711,0.365,3.49,989,3467,EU-2026-9763,false,European Union,WLTP,UNECE R154,7381,3467,750
OAM-V0283,2027,JP,sedan,Performance,FWD,2860,1983,0.283,2.29,420,0,JP-2027-1817,false,Japan,WLTC-JP,MLIT TRIAS/WLTC,2615,0,0
OAM-V0284,2024,EU,sedan,Touring,4WD,2817,1999,0.192,2.15,414,1724,EU-2024-9577,true,European Union,WLTP,UNECE R154,4244,1724,750
OAM-V0285,2025,JP,wagon,Base,RWD,2920,1967,0.243,2.43,523,1524,JP-2025-5402,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,4206,1524,750
OAM-V0286,2026,JP,suv,Performance,RWD,3019,2499,0.308,2.81,657,1838,JP-2026-4262,true,Japan,WLTC-JP,MLIT TRIAS/WLTC,5159,1838,750
OAM-V0287,2027,LATAM,crossover,Touring,AWD,2944,2020,0.334,2.66,526,2444,LATAM-2027-9836,false,LATAM,Market-specific WLTP/EPA derivative,Local type-approval procedure by importing market,5211,2444,750
